#gene	newname	num_of_conditions_in	conditions
RB1.p1	ENSGALT00000107323.1	2	LIGHT_RET_LEFT_6H_UP, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, 
STARD4.p1	ENSGALT00000000320.4	1	LIGHT_RET_LEFT_6H_UP, 
JMJD1C.p1	ENSGALT00000077715.2	1	LIGHT_RET_LEFT_6H_UP, 
LAMP2.p1	ENSGALT00000090439.1	2	LIGHT_RET_LEFT_6H_UP, LIGHT_TEL_LEFT_6H, 
CDC42BPA.p1	ENSGALT00000098004.1	1	LIGHT_RET_LEFT_6H_UP, 
ASAP3.p1	ENSGALT00000091877.1	2	LIGHT_RET_LEFT_6H_UP, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, 
GOLGB1.p1	ENSGALT00000093670.1	1	LIGHT_RET_LEFT_6H_UP, 
GARNL3.p1	ENSGALT00000104302.1	2	LIGHT_RET_LEFT_6H_UP, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, 
KCNQ3.p1	ENSGALT00000071034.2	2	LIGHT_RET_LEFT_6H_UP, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, 
NOTCH1.p1	ENSGALT00000003754.7	1	LIGHT_RET_LEFT_6H_UP, 
TKT.p1	ENSGALT00000065839.2	1	LIGHT_TEL_RIGHT_6H, 
PIGN.p1	ENSGALT00000107038.1	1	LIGHT_TEL_RIGHT_6H, 
GAPVD1.p1	ENSGALT00000063661.2	1	LIGHT_TEL_RIGHT_6H, 
ARHGAP12.p1	ENSGALT00000060659.2	1	LIGHT_TEL_RIGHT_6H, 
CACNA1C.p1	ENSGALT00000107443.1	1	LIGHT_TEL_RIGHT_6H, 
TNFRSF21.p1	ENSGALT00000079677.2	1	LIGHT_TEL_RIGHT_6H, 
VRK1.p1	ENSGALT00000018109.6	1	LIGHT_TEL_RIGHT_6H, 
TTC3.p1	ENSGALT00000096299.1	1	LIGHT_TEL_RIGHT_6H, 
KIF16B.p1	ENSGALT00000047833.2	2	LIGHT_TEL_RIGHT_6H, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, 
GALE.p1	ENSGALT00000006441.6	1	LIGHT_TEL_RIGHT_6H, 
CHST10.p1	ENSGALT00000027075.6	2	LIGHT_TEL_RIGHT_6H, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up, 
